state,city,business_count
PA,Gilbertsville,4
FL,Wimauma,4
FL,Sun City Center,4
NJ,Atco,4
NJ,Audubon,4
NJ,Monroeville,4
NJ,Mount Ephraim,4
PA,Coatesville,4
PA,PHILADELPHIA,4
FL,Redington Shores,4
PA,Audubon,4
NJ,Palmyra,4
IL,Maryville,4
NJ,Penns Grove,4
PA,Cheltenham,4
NJ,Woodstown,4
PA,Colmar,4
NJ,Lumberton,4
IL,Columbia,4
LA,Belle Chasse,4
NJ,Haddon Heights,4
PA,Ridley Park,3
PA,Schwenksville,3
PA,Sellersville,3
PA,Stowe,3
PA,Thorndale,3
PA,Swarthmore,3
PA,Villanova,3
FL,Dade City,3
PA,Oreland,3
MO,Crestwood,3
FL,Masaryktown,3
PA,Penndel,3
NJ,Barrington,3
PA,Marcus Hook,3
NJ,Ewing Township,3
NJ,Evesham,3
PA,Eddystone,3
PA,Eagleville,3
PA,Fort Washington,3
NJ,Deptford Township,3
PA,Glenmoore,3
LA,Arabi,3
IN,Whitestown,3
NJ,Gloucester Township,3
PA,Lafayette Hill,3
PA,Oaks,3
PA,Pennsburg,3
NJ,Merchantville,3
IL,East Saint Louis,3
IL,Granite City,3
IL,Caseyville,3
PA,Boothwyn,3
IL,Waterloo,3
NJ,Pennsville,3
PA,Berwyn,3
NJ,Mansfield,3
NJ,Magnolia,3
NJ,Malaga,3
PA,Boyertown,3
NJ,Woolwich Township,3
NJ,Runnemede,3
NJ,West Berlin,3
IL,Pontoon Beach,3
TN,Joelton,3
NJ,Riverside,3
NJ,Riverton,3
TN,NASHVILLE,3
TN,Lebanon,3
AB,Saint Albert,2
TN,Belle Meade,2
PA,Yeadon,2
DE,Newport,2
IN,Mccordsville,2
IN,New Palestine,2
IN,Camby,2
NJ,Pennsauken Township,2
NJ,Westampton,2
NJ,Vincentown,2
NJ,Tabernacle,2
NJ,Southampton,2
NJ,Oaklyn,2
IN,Danville,2
PA,Darby,2
PA,Furlong,2
NJ,Gibbsboro,2
ID,Kuna,2
NJ,Hainesport,2
LA,Elmwood,2
IL,Cahokia,2
NJ,Hamilton,2
NJ,Mt. Laurel,2
NJ,Mickleton,2
NJ,Logan Township,2
NJ,Mantua Township,2
PA,Chester,2
IL,Wood River,2
NJ,Lawrence Township,2
PA,Croydon,2
NJ,Franklin,2
NJ,Florence,2
IN,Oaklandon,2
NJ,Gloucester City,2
PA,Rockledge,2
MO,Shrewsbury,2
PA,Secane,2
PA,Sharon Hill,2
PA,Skippack,2
PA,Telford,2
PA,Woodlyn,2
MO,High Ridge,2
TN,Springfield,2
PA,Trooper,2
AB,Beaumont,2
PA,Phila,2
PA,Primos,2
PA,Plumsteadville,2
MO,Saint John,2
FL,Pasadena,2
LA,Meraux,2
PA,Morton,2
FL,San Antonio,2
NJ,Edgewater Park,2
NJ,Eastampton,2
NJ,Clarksboro,2
PA,Holland,2
PA,Haverford,2
IL,Bethalto,2
ID,boise,2
FL,Indian Shores,2
PA,Rosemont,2
IN,Cumberland,1
IN,Clermont,1
IN,INDIANAPOLIS,1
IN,Fairland,1
NJ,Paulsboro,1
NJ,Pedricktown,1
IL,Roxana,1
IL,Scott AFB,1
IL,O'fallon,1
IL,Scott Air Force Base,1
NV,VC Highlands,1
NV,Verdi,1
NV,Virginia City,1
NV,Washoe Valley,1
NV,Fernley,1
NV,Cold Springs,1
NJ,Woodbury Heights,1
NJ,Washington Township,1
IL,Godfrey,1
NJ,North Maple Shade,1
NJ,Mantua,1
NJ,Medford Lakes,1
NJ,Mount Royal,1
NJ,Monroe Township,1
PA,Andalusia,1
IN,"Beech Grove,",1
PA,Bristol Twp,1
PA,Bridgeport,1
IN,AVON,1
IN,Indianapolis city (balance),1
NJ,Laurel Springs,1
NJ,Jobstown,1
NJ,Harrison Township,1
NJ,Hamilton Township,1
NJ,Pennington,1
NJ,Oldmans,1
NJ,Roebling,1
NJ,Richwood,1
NV,Reno ,1
NV,Reno Nevada,1
NV,Spanish Springs,1
NV,Sparks ,1
NJ,Pine Hill,1
NJ,Pilesgrove,1
NJ,Pennsville Township,1
IN,McCordsville,1
NJ,South Harrison Township,1
NJ,Shamong,1
CA,Santa Clara,1
CA,Port Hueneme,1
TN,Pegram,1
PA,Zieglerville,1
TN,Kingston Springs,1
TN,Greenbrier,1
DE,Bellefonte,1
CA,Santa Maria,1
TN,Mt Juliet,1
TN,Lavergne,1
AZ,TUCSON,1
AB,West Edmonton,1
AZ,Casa Adobes,1
AZ,Corona de Tucson,1
IN,Whiteland,1
IN,New Whiteland,1
NJ,Haddon,1
NJ,Had Twp,1
NJ,Franklinville,1
FL,clearwater,1
FL,Ybor City,1
NJ,Ewing Twp,1
PA,Garnet Valley,1
ID,East Boise,1
PA,Erdenheim,1
PA,Elverson,1
PA,FOLSOM,1
PA,Fallsington,1
PA,Fountainville,1
PA,Franconia,1
NJ,Lawrenceville,1
PA,Dublin,1
PA,Douglassville,1
IL,Mascoutah,1
PA,Edgmont,1
PA,East Lansdowne,1
PA,Chesterbrook,1
IL,East Alton,1
LA,Belle Chase,1
IL,Maryville ,1
IL,Lebanon,1
NJ,Haddon township,1
PA,Glenmore,1
PA,Hilltown,1
PA,Holmes,1
PA,Green Lane,1
NJ,Eastampton Township,1
NJ,Deptford Twp,1
NJ,Cherry Hil,1
NJ,Elmer,1
PA,Linwood,1
PA,Lionville,1
PA,Lenni,1
FL,Springhill,1
PA,Lower Southampton Township,1
PA,Manayunk,1
PA,Melrose Park,1
PA,Maple Glen,1
PA,Mont Clare,1
FL,North Redington Bch,1
PA,Lower Merion,1
FL,St.Pete Beach,1
FL,Wesley Chapel ,1
FL,Tierra Verde,1
FL,Terra Ceia,1
FL,"Tampa,",1
PA,Landsdale,1
PA,Ivyland,1
PA,LANSDALE,1
PA,Jeffersonville,1
FL,South Tampa,1
FL,Saint Petersburg Beach,1
FL,S Pasadena,1
MO,Afton,1
NJ,Cherry Hill Mall,1
PA,Glenn Mills,1
PA,Gradyville,1
ID,Nampa,1
LA,Waggaman,1
LA,Saint Rose,1
LA,Metairie ,1
LA,Luling,1
NJ,Carneys Point,1
NJ,Cedar Brook,1
NJ,Burlington Township,1
NJ,Brooklawn,1
PA,New Britain,1
NJ,Beverly,1
NJ,Berlin Township,1
PA,Parkside,1
FL,Redingtn Shor,1
FL,Redingtn Shores,1
FL,Petersburg,1
FL,RIVERVIEW,1
PA,Lima,1
MO,Edmundson,1
MO,Charlack,1
MO,Earth City,1
PA,Prospect Park,1
PA,Philadelphia PA,1
PA,Philadephia,1
MO,"Saint Louis,",1
PA,Roxborough,1
MO,Twin Oaks,1
MO,St Ann,1
PA,Radnor,1
PA,Pineville,1
FL,New Orleans,1
FL,Hernando Beach,1
FL,Greater Northdale,1
PA,St. Davids,1
PA,Southwest Philadelphia,1
PA,Skippack Village,1
PA,Silverdale,1
MO,St. Ann,1
PA,Upper Southampton Township,1
PA,Upper Chichester,1
PA,Toughkenamon,1
FL,Boulevard,1
DE,Yorklyn,1
FL,Bradenton Beach,1
FL,Bradenton,1
TN,Whites Creek,1
MO,Frontenac,1
PA,Unionville,1
PA,Upland,1
MO,Kimmswick,1
MO,Hazelwood,1
MO,Mehlville,1
MO,Saint Ann,1
FL,CLEARWATER BEACH,1
FL,Citrus Park,1
MO,Barnhart,1
MO,Breckenridge Hills,1
PA,Virtual,1
FL,Greater Carrollwood,1
PA,Washington Crossing,1
PA,West Norriton ,1
PA,West Point,1
PA,West Philadelphia,1
PA,Wyndmoor,1
PA,Yardley Boro,1
