rank,feature,feature_group,importance_mean,importance_std,feature_group_label,importance_share_pct,baseline_pr_auc,metric,split,model_version,method,repeats
21,recent_new_business_rate,business,0.00035108552289789263,0.00046432121189421047,음식점 탐색,0.37016017819921254,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
22,review_recent3m_vs_prev3m,activity,0.0003121599095532113,0.00032297375656290884,리뷰 활동량,0.3291197164528835,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
23,baseline_mean_interval_days,interval,0.0002717578260224895,0.00023198462081327722,작성 간격,0.28652256714319546,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
24,new_business_rate_decline,business,0.000258894493803552,0.0003607767907981402,음식점 탐색,0.27296036353224684,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
25,baseline_recency_days,interval,0.00024097728177490673,0.0005488986256768163,작성 간격,0.2540697002470926,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
26,active_month_decline_rate,activity,0.00023125397530037172,0.00018327716128164939,리뷰 활동량,0.2438181215787628,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
27,baseline_max_interval_days,interval,0.00022181096262224309,0.0001922377135032309,작성 간격,0.2338620652115793,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
28,max_interval_increase_days,interval,7.980929860019193e-05,0.00023118764582509546,작성 간격,0.08414537844784069,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
29,unique_business_ratio,business,6.364035939475099e-05,0.00010733370437923858,음식점 탐색,0.06709797253894219,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
30,reviews_per_active_month_decline_rate,activity,5.6788123107021084e-05,6.360724248466408e-05,리뷰 활동량,0.05987345076318418,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
31,median_interval_increase_days,interval,5.282767450056625e-05,0.00022568321613616673,작성 간격,0.05569782896649589,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
32,review_count_decline_rate,activity,5.0476964208168165e-05,0.0001024550169007336,리뷰 활동량,0.05321940338646461,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
33,recent_median_interval_days,interval,4.310588399030757e-05,0.0005350225221424167,작성 간격,0.04544784862555382,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
34,recent_revisited_business_count,business,2.7378177299552943e-05,0.00011632383383045434,음식점 탐색,0.028865647618627522,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
35,unique_business_decline_rate,business,1.153604449297685e-05,1.4155177521404888e-05,음식점 탐색,0.01216280366671874,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
36,recent_new_business_count,business,-1.946567271249311e-06,0.0005489063613237421,음식점 탐색,0.0,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
37,unique_business_count_diff,business,-5.147360560059377e-06,5.831733501509639e-05,음식점 탐색,0.0,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
38,reviews_per_active_month_diff,activity,-1.5677652444701096e-05,0.0002646051129499165,리뷰 활동량,0.0,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
39,new_business_count_diff,business,-5.847470843629021e-05,3.8697961998536995e-05,음식점 탐색,0.0,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
40,months_since_last_new_business,business,-6.713929765815307e-05,0.00011855641040475703,음식점 탐색,0.0,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
41,mean_interval_increase_days,interval,-0.00011732641663923515,0.00032606812479418616,작성 간격,0.0,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
42,review_count_diff,activity,-0.0001824627351996899,0.00017270026954068377,리뷰 활동량,0.0,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
43,baseline_new_business_count,business,-0.000252459454571502,0.00017216506504524667,음식점 탐색,0.0,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
44,recent_reviews_per_active_month,activity,-0.00025693648700546025,0.0004749016805013034,리뷰 활동량,0.0,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
45,recent_new_vs_baseline_count,activity,-0.0005414396617880845,0.0002989051122869197,리뷰 활동량,0.0,0.587896978288163,macro_pr_auc,train_pool_data,v05,single_feature_permutation,20
