selection_rank,candidate_name,hidden_dims,dropout,learning_rate,weight_decay,epochs,batch_size,class_weighted_loss,weakened_threshold,stopped_threshold,validation_samples,seed_macro_f1_mean,seed_macro_f1_std,seed_macro_pr_auc_mean,seed_macro_pr_auc_std,oof_accuracy,oof_balanced_accuracy,oof_macro_precision,oof_macro_recall,oof_macro_f1,oof_weighted_f1,oof_macro_pr_auc,oof_macro_ovr_roc_auc,oof_retained_precision,oof_retained_recall,oof_retained_f1,oof_retained_support,oof_retained_pr_auc,oof_weakened_precision,oof_weakened_recall,oof_weakened_f1,oof_weakened_support,oof_weakened_pr_auc,oof_stopped_precision,oof_stopped_recall,oof_stopped_f1,oof_stopped_support,oof_stopped_pr_auc,selected
11,mlp_small_weighted,64x32,0.1,0.001,0.0001,40,512,True,0.42,0.45,24596,0.533450194488438,0.002401888144702107,0.5763527403194925,0.0007941085312550726,0.5538705480565945,0.5675900166489157,0.5305236656572753,0.5675900166489157,0.5356830636783729,0.5503788122590781,0.578285498955589,0.7564029165031082,0.6128916419786337,0.695426301314047,0.6515556403893873,9817,0.7437985328337883,0.5933100865297688,0.41540826476173254,0.48867141793426233,11059,0.5806217784503223,0.3853692684634232,0.5919354838709677,0.46682213271146916,3720,0.41043618558265665,False
12,mlp_medium_unweighted,128x64x32,0.2,0.0007,0.0005,50,512,False,0.3,0.35,24596,0.53431292533185,0.002314436525013007,0.5818146603198202,0.000830651638854935,0.5744429988616035,0.5340947184218626,0.5952051668308297,0.5340947184218626,0.5348415016526257,0.5643721442101296,0.5832470379536395,0.7622827553414101,0.8040841083704003,0.40511357848629925,0.538779380884644,9817,0.7439573092160365,0.5307825441958215,0.7764716520481056,0.6305393398685611,11059,0.595793936221571,0.4507488479262673,0.4206989247311828,0.4352057842046719,3720,0.4099898684233111,False
13,mlp_small_weighted,64x32,0.1,0.001,0.0001,40,512,True,0.3,0.45,24596,0.5335880982341178,0.0013688170294191414,0.5763527403194925,0.0007941085312550726,0.5513498129777199,0.5557112308847433,0.5661319953907686,0.5557112308847433,0.5342829517994129,0.553433589219906,0.578285498955589,0.7564029165031082,0.783662812383439,0.42803300397270044,0.553659661374267,9817,0.7437985328337883,0.5293639053254438,0.6471652048105615,0.5823670613125025,11059,0.5806217784503223,0.3853692684634232,0.5919354838709677,0.46682213271146916,3720,0.41043618558265665,False
14,mlp_medium_unweighted,128x64x32,0.2,0.0007,0.0005,50,512,False,0.42,0.45,24596,0.532419300870576,0.004301302912021628,0.5818146603198202,0.000830651638854935,0.5984712961457147,0.5204374218266431,0.5854991797590291,0.5204374218266431,0.532643811042445,0.5870983416337776,0.5832470379536395,0.7622827553414101,0.698989650073928,0.5778751145971275,0.632688339931969,9817,0.7439573092160365,0.5547963924569554,0.7342436024957049,0.6320295777388597,11059,0.595793936221571,0.5027114967462039,0.24919354838709679,0.3332135154565061,3720,0.4099898684233111,False
15,mlp_medium_unweighted,128x64x32,0.2,0.0007,0.0005,50,512,False,0.36,0.45,24596,0.5250404215581123,0.004659929777182547,0.5818146603198202,0.000830651638854935,0.5944055944055944,0.5142048253589068,0.6006259813752823,0.5142048253589068,0.5253019152239992,0.5790147309314282,0.5832470379536395,0.7622827553414101,0.7580847723704867,0.4919018029948049,0.5966516340273058,9817,0.7439573092160365,0.5410816750091564,0.8015191246948187,0.6460405961881855,11059,0.595793936221571,0.5027114967462039,0.24919354838709679,0.3332135154565061,3720,0.4099898684233111,False
16,mlp_medium_weighted,128x64x32,0.2,0.0007,0.0005,50,512,True,0.42,0.55,24596,0.5246443910711696,0.0010961289061373015,0.5774698582239001,0.0010695546462179042,0.5493982761424622,0.5369082229064427,0.5283812719750359,0.5369082229064427,0.5249199922660527,0.5422129993784223,0.5789945639957793,0.7567696646952452,0.5588888888888889,0.7173270856677193,0.6282731855288397,9817,0.7441517022504461,0.5908807773763548,0.42888145401935074,0.49701351776171016,11059,0.5819219972396961,0.43537414965986393,0.4645161290322581,0.4494732735076083,3720,0.4109099924971956,False
17,mlp_medium_weighted,128x64x32,0.2,0.0007,0.0005,50,512,True,0.36,0.35,24596,0.5243281937833352,0.0006021075644270645,0.5774698582239001,0.0010695546462179042,0.5308586762075134,0.5706747305190528,0.53356595834965,0.5706747305190528,0.5243993134107454,0.5405233009636224,0.5789945639957793,0.7567696646952452,0.7193643953676273,0.5441580931037995,0.6196137563069072,9817,0.7441517022504461,0.5470702283498492,0.4592639479157247,0.4993363810647397,11059,0.5819219972396961,0.3342632513314735,0.7086021505376344,0.45424780286058936,3720,0.4109099924971956,False
18,mlp_small_weighted,64x32,0.1,0.001,0.0001,40,512,True,0.36,0.35,24596,0.5218036138910241,0.0017156378284270623,0.5763527403194925,0.0007941085312550726,0.5299235648072858,0.570755231162458,0.5332169918612578,0.570755231162458,0.5236248418250845,0.5395680666958104,0.578285498955589,0.7564029165031082,0.7176057289555465,0.5410003055923398,0.616912533395284,9817,0.7437985328337883,0.5485022169352223,0.4586309792928836,0.4995567812469221,11059,0.5806217784503223,0.33354302969300453,0.7126344086021505,0.45440521083304763,3720,0.41043618558265665,False
19,mlp_small_weighted,64x32,0.1,0.001,0.0001,40,512,True,0.42,0.55,24596,0.5210691307322733,0.00334974416314619,0.5763527403194925,0.0007941085312550726,0.5483005366726297,0.5319914832260125,0.527935506375548,0.5319914832260125,0.521512775536435,0.5401950809102353,0.578285498955589,0.7564029165031082,0.5530956265050881,0.725272486503005,0.627589246364037,9817,0.7437985328337883,0.5933761490996097,0.42607830726105433,0.496,11059,0.5806217784503223,0.43733474352194607,0.4446236559139785,0.4409490802452679,3720,0.41043618558265665,False
20,mlp_medium_weighted,128x64x32,0.2,0.0007,0.0005,50,512,True,0.42,0.35,24596,0.5177602022250537,0.0008489993278689836,0.5774698582239001,0.0010695546462179042,0.5314685314685315,0.5755083802691505,0.5232326377619381,0.5755083802691505,0.517998684992213,0.5299723486092712,0.5789945639957793,0.7567696646952452,0.6540050377833753,0.6611999592543547,0.6575828183568028,9817,0.7441517022504461,0.5814296241709653,0.35672303101546254,0.44216543375924683,11059,0.5819219972396961,0.3342632513314735,0.7086021505376344,0.45424780286058936,3720,0.4109099924971956,False
21,mlp_small_weighted,64x32,0.1,0.001,0.0001,40,512,True,0.42,0.35,24596,0.5144648040921505,0.0012210234337758342,0.5763527403194925,0.0007941085312550726,0.5304521060335013,0.5757879054039375,0.5231192537509896,0.5757879054039375,0.5165645507938104,0.5280134158036383,0.578285498955589,0.7564029165031082,0.6494876131728187,0.6649689314454518,0.6571371048922892,9817,0.7437985328337883,0.5863271183871457,0.34976037616421013,0.43815133665609424,11059,0.5806217784503223,0.33354302969300453,0.7126344086021505,0.45440521083304763,3720,0.41043618558265665,False
22,mlp_medium_weighted,128x64x32,0.2,0.0007,0.0005,50,512,True,0.3,0.35,24596,0.5132774230564571,0.002656047518764477,0.5774698582239001,0.0010695546462179042,0.5209383639616197,0.5593581762011928,0.5475151509807076,0.5593581762011928,0.514639303915219,0.5302375120645542,0.5789945639957793,0.7567696646952452,0.7852189781021898,0.4383212794132627,0.5625939726743806,9817,0.7441517022504461,0.5230632235084595,0.5311510986526811,0.5270761362106869,11059,0.5819219972396961,0.3342632513314735,0.7086021505376344,0.45424780286058936,3720,0.4109099924971956,False
23,mlp_small_weighted,64x32,0.1,0.001,0.0001,40,512,True,0.3,0.35,24596,0.5099092501164412,0.0025424675964666413,0.5763527403194925,0.0007941085312550726,0.5178890876565295,0.5575776986787377,0.546757222242085,0.5575776986787377,0.511601795543313,0.526548681116474,0.578285498955589,0.7564029165031082,0.7857276643566211,0.42731995517979016,0.5535761414621272,9817,0.7437985328337883,0.5210009726766293,0.5327787322542725,0.526824034334764,11059,0.5806217784503223,0.33354302969300453,0.7126344086021505,0.45440521083304763,3720,0.41043618558265665,False
24,mlp_medium_unweighted,128x64x32,0.2,0.0007,0.0005,50,512,False,0.3,0.45,24596,0.5069654735869132,0.005228587009799625,0.5818146603198202,0.000830651638854935,0.5808668076109936,0.5009187845824784,0.6112509368509914,0.5009187845824784,0.5073742704877567,0.5577548459496781,0.5832470379536395,0.7622827553414101,0.8040841083704003,0.40511357848629925,0.538779380884644,9817,0.7439573092160365,0.5269572054363698,0.8484492268740392,0.6501299151221203,11059,0.595793936221571,0.5027114967462039,0.24919354838709679,0.3332135154565061,3720,0.4099898684233111,False
25,mlp_medium_unweighted,128x64x32,0.2,0.0007,0.0005,50,512,False,0.42,0.55,24596,0.46986680281805276,0.005446393615687835,0.5818146603198202,0.000830651638854935,0.5881850707432102,0.4775020941117197,0.5929186973737205,0.4775020941117197,0.4697371447804317,0.5566456752556863,0.5832470379536395,0.7622827553414101,0.6536836093660765,0.5829683202607722,0.6163041137195778,9817,0.7439573092160365,0.5511594392768243,0.760828284655032,0.6392402659069326,11059,0.595793936221571,0.5739130434782609,0.08870967741935484,0.15366705471478465,3720,0.4099898684233111,False
26,mlp_medium_unweighted,128x64x32,0.2,0.0007,0.0005,50,512,False,0.36,0.55,24596,0.4685773995518662,0.007704392136002361,0.5818146603198202,0.000830651638854935,0.5930639128313547,0.47772518379645335,0.6211493329754899,0.47772518379645335,0.46894060983725794,0.5566037205628672,0.5832470379536395,0.7622827553414101,0.7545667447306792,0.4923092594478965,0.5958574774996918,9817,0.7439573092160365,0.5349682107175295,0.8521566145221087,0.6572972972972972,11059,0.595793936221571,0.5739130434782609,0.08870967741935484,0.15366705471478465,3720,0.4099898684233111,False
27,mlp_medium_unweighted,128x64x32,0.2,0.0007,0.0005,50,512,False,0.3,0.55,24596,0.4505486862754065,0.008801739757024704,0.5818146603198202,0.000830651638854935,0.579931696210766,0.46472530328422185,0.6333297627175748,0.46472530328422185,0.45109821564072905,0.5354187264068114,0.5832470379536395,0.7622827553414101,0.8040841083704003,0.40511357848629925,0.538779380884644,9817,0.7439573092160365,0.5219921363040629,0.9003526539470115,0.6608482113227584,11059,0.595793936221571,0.5739130434782609,0.08870967741935484,0.15366705471478465,3720,0.4099898684233111,False
